index,question,answer,source,scene,orig_uid,core_gt_objects,extended_gt_objects,prediction,pred_scene_structured,pred_gender_structured,pred_occupation_structured,pred_action_structured,parse_status
11,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, person, truck",coco,street,coco_419235,"bus, person, truck","bus, person, truck","""In the unknown, an unknown unknown is approaching.""",unknown,unknown,unknown,approaching,loose_match
12,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bicycle, car, handbag, person, traffic light",coco,street,coco_163387,"bicycle, car, handbag, person, traffic light","bicycle, car, handbag, person, traffic light","In the street scene, an unknown person is crossing.",street scene,unknown,person,crossing,strict_match
13,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, bench, bicycle, dog, person, umbrella",coco,street,coco_9446,"backpack, bench, bicycle, dog, person, umbrella","backpack, bench, bicycle, dog, person, umbrella","""In the beach scene, an unknown man is squatting.""",beach scene,unknown,man,squatting,loose_match
14,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bicycle, car, person, potted plant",coco,street,coco_530758,"bicycle, car, person, potted plant","bicycle, car, person, potted plant","In the street, an unknown vendor is riding a bicycle.",street,unknown,vendor,riding a bicycle,strict_match
15,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, motorcycle, person",coco,street,coco_226148,"car, motorcycle, person","car, motorcycle, person","In the urban street, an unknown person is parking motorcycles.",urban street,unknown,person,parking motorcycles,strict_match
16,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, person, skateboard",coco,street,coco_526232,"backpack, person, skateboard","backpack, person, skateboard","In the park, an unknown unknown is skateboarding.",park,unknown,unknown,skateboarding,strict_match
17,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bicycle, car, handbag, person, traffic light, truck",coco,street,coco_460810,"bicycle, car, handbag, person, traffic light, truck","bicycle, car, handbag, person, traffic light, truck","In the city street, an unknown cyclist is riding.",city street,unknown,cyclist,riding,strict_match
18,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, car, handbag, person, skateboard, truck",coco,street,coco_437292,"bus, car, handbag, person, skateboard, truck","bus, car, handbag, person, skateboard, truck","In the urban area, an unknown skateboarder is performing a trick.",urban area,unknown,skateboarder,performing a trick,strict_match
19,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, person, stop sign",coco,street,coco_225392,"car, person, stop sign","car, person, stop sign","In the street, an unknown unknown is holding a stop sign.",street,unknown,unknown,holding a stop sign,strict_match
20,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, person, traffic light",coco,street,coco_281721,"car, person, traffic light","car, person, traffic light","In the street scene, an unknown person is walking.",street scene,unknown,person,walking,strict_match
21,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, car, motorcycle, person",coco,street,coco_324817,"backpack, car, motorcycle, person","backpack, car, motorcycle, person","""In the street, an unknown driver is riding a scooter with a passenger.""",street,unknown,driver,riding a scooter with a passenger,loose_match
22,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, bicycle, car, dog, person, traffic light",coco,street,coco_178948,"backpack, bicycle, car, dog, person, traffic light","backpack, bicycle, car, dog, person, traffic light","In the urban scene, an unknown unknown is standing.",urban scene,unknown,unknown,standing,strict_match
23,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, motorcycle, person, truck",coco,street,coco_369763,"car, motorcycle, person, truck","car, motorcycle, person, truck","In the street, a male police officer is writing.",street,male,police officer,writing,strict_match
24,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","horse, person",coco,street,coco_318184,"horse, person","horse, person","In the outdoor scene, an unknown person is walking a horse.",outdoor scene,unknown,person,walking a horse,strict_match
25,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","boat, person, truck",coco,street,coco_142561,"boat, person, truck","boat, person, truck","""In the cityscape, an unknown unknown is observing.""",cityscape,unknown,unknown,observing,loose_match
26,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, clock, handbag, person",coco,street,coco_344280,"car, clock, handbag, person","car, clock, handbag, person","""In the street scene, an unknown person is walking.""",street scene,unknown,person,walking,loose_match
27,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","cat, person",coco,street,coco_444805,"cat, person","cat, person","In the car, an unknown person is sitting with a cat on their lap.",car,unknown,person,sitting with a cat on their lap,strict_match
28,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, car, dog, person, teddy bear",coco,street,coco_295103,"backpack, car, dog, person, teddy bear","backpack, car, dog, person, teddy bear","""In the street, an unknown person is petting a dog.""",street,unknown,person,petting a dog,loose_match
29,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bench, person",coco,street,coco_335703,"bench, person","bench, person","In the park, an unknown unknown is sitting.",park,unknown,unknown,sitting,strict_match
30,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","clock, person",coco,street,coco_198405,"clock, person","clock, person","In the beach scene, an unknown unknown is walking.",beach scene,unknown,unknown,walking,strict_match
31,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","person, skateboard",coco,street,coco_375755,"person, skateboard","person, skateboard","""In the street, an unknown child is holding a skateboard.""",street,unknown,child,holding a skateboard,loose_match
32,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, person, skateboard",coco,street,coco_399148,"car, person, skateboard","car, person, skateboard","In the street, an unknown skateboarder is skating.",street,unknown,skateboarder,skating,strict_match
33,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","horse, person",coco,street,coco_441972,"horse, person","horse, person","""In the street, an unknown driver is steering.""",street,unknown,driver,steering,loose_match
34,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, clock, handbag, person, traffic light",coco,street,coco_221346,"backpack, clock, handbag, person, traffic light","backpack, clock, handbag, person, traffic light","In the night scene, an unknown person is standing.",night scene,unknown,person,standing,strict_match
35,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bicycle, car, person, surfboard, truck",coco,street,coco_83580,"bicycle, car, person, surfboard, truck","bicycle, car, person, surfboard, truck","In the outdoor scene, an unknown unknown is carrying a surfboard while riding a bicycle.",outdoor scene,unknown,unknown,carrying a surfboard while riding a bicycle,strict_match
36,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, cup, fire hydrant, person",coco,street,coco_472922,"chair, cup, fire hydrant, person","chair, cup, fire hydrant, person","""In the outdoor café scene, an unknown person is sitting.""",outdoor café scene,unknown,person,sitting,loose_match
37,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","handbag, person, skateboard",coco,street,coco_288651,"handbag, person, skateboard","handbag, person, skateboard","In the street, an unknown person is talking to another person through a window.",street,unknown,person,talking to another person through a window,strict_match
38,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, person, potted plant, traffic light, umbrella",coco,street,coco_379259,"car, person, potted plant, traffic light, umbrella","car, person, potted plant, traffic light, umbrella","In the rainy city street, an unknown person is walking with an umbrella.",rainy city street,unknown,person,walking with an umbrella,strict_match
39,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","person, skateboard",coco,street,coco_385144,"person, skateboard","person, skateboard","In the urban scene, an unknown skateboarder is performing a trick.",urban scene,unknown,skateboarder,performing a trick,strict_match
40,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bicycle, car, cow, motorcycle, person, truck",coco,street,coco_142718,"bicycle, car, cow, motorcycle, person, truck","bicycle, car, cow, motorcycle, person, truck","In the street, an unknown unknown is riding a motorcycle.",street,unknown,unknown,riding a motorcycle,strict_match
41,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, person, stop sign, surfboard, truck",coco,street,coco_456949,"car, person, stop sign, surfboard, truck","car, person, stop sign, surfboard, truck","In the parking lot, an unknown unknown is driving.",parking lot,unknown,unknown,driving,strict_match
42,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, bus, car, handbag, person, traffic light",coco,street,coco_54025,"backpack, bus, car, handbag, person, traffic light","backpack, bus, car, handbag, person, traffic light","""In the city street, an unknown unknown is boarding.""",city street,unknown,unknown,boarding,loose_match
43,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, handbag, person, truck",coco,street,coco_84551,"car, handbag, person, truck","car, handbag, person, truck","In the street, an unknown person is standing.",street,unknown,person,standing,strict_match
44,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","frisbee, person, sports ball",coco,street,coco_281012,"frisbee, person, sports ball","frisbee, person, sports ball","""In the outdoor court, an unknown player is playing a game.""",outdoor court,unknown,player,playing a game,loose_match
45,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bicycle, motorcycle, person",coco,street,coco_498218,"bicycle, motorcycle, person","bicycle, motorcycle, person","""In the street market, an unknown vendor is pushing a cart.""",street market,unknown,vendor,pushing a cart,loose_match
46,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, car, person",coco,street,coco_317622,"bus, car, person","bus, car, person","""In the bus station, an unknown person is standing.""",bus station,unknown,person,standing,loose_match
47,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, car, handbag, person",coco,street,coco_16513,"bus, car, handbag, person","bus, car, handbag, person","In the street, an unknown driver is driving.",street,unknown,driver,driving,strict_match
48,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bench, horse, person, potted plant",coco,street,coco_102166,"bench, horse, person, potted plant","bench, horse, person, potted plant","In the street scene, an unknown person is walking.",street scene,unknown,person,walking,strict_match
49,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, bus, car, person, traffic light, truck",coco,street,coco_412793,"backpack, bus, car, person, traffic light, truck","backpack, bus, car, person, traffic light, truck","In the urban scene, an unknown pedestrian is crossing the street.",urban scene,unknown,pedestrian,crossing the street,strict_match
50,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, fire hydrant, person, stop sign",coco,street,coco_233711,"car, fire hydrant, person, stop sign","car, fire hydrant, person, stop sign","In the street, an unknown person is performing a pole trick.",street,unknown,person,performing a pole trick,strict_match
51,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, bus, car, handbag, person, stop sign",coco,street,coco_575590,"backpack, bus, car, handbag, person, stop sign","backpack, bus, car, handbag, person, stop sign","In the street, an unknown person is walking.",street,unknown,person,walking,strict_match
52,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, cell phone, person",coco,street,coco_209785,"car, cell phone, person","car, cell phone, person","""In the roadside scene, a male unknown is talking on the phone.""",roadside scene,male,unknown,talking on the phone,loose_match
53,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, car, handbag, person, umbrella",coco,street,coco_455350,"bus, car, handbag, person, umbrella","bus, car, handbag, person, umbrella","""In the city street, an unknown person is walking with an umbrella.""",city street,unknown,person,walking with an umbrella,loose_match
54,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","clock, cup, handbag, person, tie, wine glass",coco,street,coco_413792,"clock, cup, handbag, person, tie, wine glass","clock, cup, handbag, person, tie, wine glass","In the crowded scene, an unknown unknown is standing.",crowded scene,unknown,unknown,standing,strict_match
55,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, dining table, person, surfboard, truck, umbrella",coco,street,coco_550845,"car, dining table, person, surfboard, truck, umbrella","car, dining table, person, surfboard, truck, umbrella","In the beach scene, an unknown unknown is relaxing.",beach scene,unknown,unknown,relaxing,strict_match
56,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, car, person, umbrella",coco,street,coco_556800,"backpack, car, person, umbrella","backpack, car, person, umbrella","""In the parking lot, an unknown vendor is standing.""",parking lot,unknown,vendor,standing,loose_match
57,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bench, handbag, person, umbrella",coco,street,coco_165527,"bench, handbag, person, umbrella","bench, handbag, person, umbrella","""In the park, an unknown unknown is breakdancing.""",park,unknown,unknown,breakdancing,loose_match
58,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, car, person",coco,street,coco_20273,"bus, car, person","bus, car, person","In the street, an unknown driver is operating a bus.",street,unknown,driver,operating a bus,strict_match
59,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, person, skateboard",coco,street,coco_167792,"car, person, skateboard","car, person, skateboard","In the parking garage, an unknown unknown is skateboarding.",parking garage,unknown,unknown,skateboarding,strict_match
60,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, person",coco,street,coco_137382,"bus, person","bus, person","""In the city street, an unknown driver is operating a bus.""",city street,unknown,driver,operating a bus,loose_match
61,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, car, person, traffic light, truck",coco,street,coco_574037,"bus, car, person, traffic light, truck","bus, car, person, traffic light, truck","In the urban scene, an unknown driver is operating a tow truck.",urban scene,unknown,driver,operating a tow truck,strict_match
62,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, chair, person, truck",coco,street,coco_56549,"car, chair, person, truck","car, chair, person, truck","In the car show, an unknown unknown is displaying a vintage truck.",car show,unknown,unknown,displaying a vintage truck,strict_match
