index,question,answer,source,scene,orig_uid,core_gt_objects,extended_gt_objects,prediction,pred_gender_forced,gender_parse_status
11,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bus, person, truck",coco,street,coco_419235,"bus, person, truck","bus, person, truck","Gender: unknown

The image depicts a group of heavily armed and armored individuals, likely a tactical or SWAT team, in the midst of an operation. They are dressed in dark tactical gear, including helmets, vests, and knee pads. Some of them are holding firearms in a ready position. 

To the left of the image, there is a yellow school bus with its door open, and one of the team members appears to be approaching or entering the bus. The bus has the number ""1"" visible on its rear. 

On the right side of the image, there is a black armored vehicle, possibly a SWAT van, with its rear door open. The scene appears to be taking place in an open area with a few trees and power lines visible in the background. The overall atmosphere suggests a training exercise or a real tactical operation.",unknown,strict_match
12,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bicycle, car, handbag, person, traffic light",coco,street,coco_163387,"bicycle, car, handbag, person, traffic light","bicycle, car, handbag, person, traffic light","Gender: unknown

The image depicts a busy urban street scene. There are several people crossing the street at a pedestrian crosswalk. The street is lined with various buildings, many of which have signs in Japanese. 

On the left side of the image, there are multiple vending machines lined up against a building. Above the vending machines, there are signs and advertisements in Japanese. A red building with a sign that has white characters is also visible on the left.

In the middle of the image, there are several pedestrians, including a person with a hat and a bag, and another person with a backpack. The street has a zebra crossing, and the traffic light above it is red.

On the right side of the image, there is a red taxi parked near the crosswalk. A person in a white shirt and hat is standing near the taxi. There are also traffic cones and a barrier on the right side of the street, indicating some construction or roadwork.

The street is bustling with activity, and there are numerous power lines and poles visible above the street. The buildings have various signs and advertisements, contributing to the busy urban atmosphere.",unknown,strict_match
13,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, bench, bicycle, dog, person, umbrella",coco,street,coco_9446,"backpack, bench, bicycle, dog, person, umbrella","backpack, bench, bicycle, dog, person, umbrella","Gender: male

The image depicts a beachside scene with a man in a green shirt and shorts crouching near a bench. The beach is in the background, featuring sand, a few beach umbrellas, and the ocean. There are palm trees and other vegetation along the promenade. A woman in a polka dot dress and helmet is riding a bicycle on the right side of the image. The promenade has benches, railings, and a few structures, including a white canopy. The sky is clear, indicating a sunny day.",male,strict_match
14,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bicycle, car, person, potted plant",coco,street,coco_530758,"bicycle, car, person, potted plant","bicycle, car, person, potted plant","Gender: male

The image shows a man riding a bicycle on a street. He is balancing a large tray of bread on his head. The man is wearing a striped shirt and dark pants. The street appears to be in an urban area with a mix of vehicles and pedestrians. 

In the background, there is a wall with some warning signs and a red fire extinguisher. There are also orange traffic cones placed along the street. To the right, there is a storefront with a bright yellow and orange sign that includes the brand ""Halls"" and some images of citrus fruits. 

In the foreground, there is a black car with a roof rack, and the driver is visible, waving their hand out of the window. The car has a license plate with the number ""377"" and some Arabic text. There is also a concrete barrier with a plant on top of it near the center of the image.",male,strict_match
15,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","car, motorcycle, person",coco,street,coco_226148,"car, motorcycle, person","car, motorcycle, person","Gender: unknown

The image depicts a busy urban street scene. In the foreground, there are several parked motorcycles and scooters lined up along the sidewalk. The motorcycles vary in color, including black, red, and white, and some have helmets placed on them. 

Behind the motorcycles, there are several cars parked along the street. Notable among them is a silver Audi with a visible license plate. Other cars include a white vehicle and a gray one. 

The street is bustling with activity, with several pedestrians visible in the background. The buildings lining the street are brick and have a mix of modern and older architectural styles. There are also various storefronts and signs visible, contributing to the lively urban atmosphere.",unknown,strict_match
16,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, person, skateboard",coco,street,coco_526232,"backpack, person, skateboard","backpack, person, skateboard","Gender: male

The image shows a male figure standing on a skateboard on a paved path in a park. The person is wearing a blue shirt and dark shorts. The sun is low in the sky, casting long shadows, and the person’s shadow is prominently visible on the path. The park is lush with green grass and several tall trees scattered around. The sky is clear, and the sunlight creates a bright, almost silhouetted effect on the person. The overall scene is serene and captures a moment of leisure in a natural setting.",male,strict_match
17,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bicycle, car, handbag, person, traffic light, truck",coco,street,coco_460810,"bicycle, car, handbag, person, traffic light, truck","bicycle, car, handbag, person, traffic light, truck","Gender: unknown

The image depicts a street scene in what appears to be a Chinatown area, characterized by a traditional Chinese archway with ornate golden roofs and red pillars. The archway has Chinese characters written on it. 

In the foreground, there are several orange and white traffic cones and a sign that reads ""Trottoir Barré,"" indicating that the sidewalk is closed. There are also ""No Parking"" signs on the left side of the image.

A cyclist is riding towards the archway, and a pedestrian is walking on the right side of the street. There is a black car driving towards the archway as well. 

Buildings line both sides of the street, with some trees visible in the background. The overall scene suggests an urban environment with ongoing construction or roadwork.",unknown,strict_match
18,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bus, car, handbag, person, skateboard, truck",coco,street,coco_437292,"bus, car, handbag, person, skateboard, truck","bus, car, handbag, person, skateboard, truck","Gender: male

The image shows a male skateboarder performing an ollie in an urban park setting. He is wearing a black jacket, beige pants, and black shoes. His skateboard is in mid-air, and he appears to be in the middle of a jump. 

In the background, there are several other people, including a person sitting on a bench to the left and another person standing and watching the skateboarder to the right, holding a phone or camera. The park is surrounded by buildings, and there are several trees without leaves, indicating it might be autumn or winter. 

There are also several yellow taxis and other vehicles on the street behind the park. A lamppost with multiple spherical lights is visible on the right side of the image. The overall scene is lively, with people walking and vehicles moving in the background.",male,strict_match
19,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","car, person, stop sign",coco,street,coco_225392,"car, person, stop sign","car, person, stop sign","Gender: unknown

The image shows a red octagonal stop sign with the word ""STOP"" written in white capital letters. The sign is mounted on a pole and is positioned in the foreground, taking up most of the frame. In the background, there is a street scene with a few visible objects, including:

- A few trees with green foliage.
- Power lines and utility poles.
- A building with a red brick facade.
- A few parked cars.
- A small portion of a person's head and sunglasses visible at the bottom right corner of the image.

The sky is partly cloudy with patches of blue visible.",unknown,strict_match
20,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","car, person, traffic light",coco,street,coco_281721,"car, person, traffic light","car, person, traffic light","Gender: unknown

The image depicts a street scene in a suburban area. The street is relatively wide with two lanes in each direction, separated by a dashed yellow line. There are several vehicles on the road, including a black van, a blue car, a silver car, and another dark-colored vehicle. 

On the left side of the image, there is a sidewalk with a railing. Two people are walking on the sidewalk, one of whom is wearing a light-colored top and carrying a bag. There are several traffic lights visible, all of which are red. 

In the background, there are houses and trees, some of which are bare, indicating it might be early spring or late fall. There are also utility poles and street signs visible along the road. The overall atmosphere of the image is calm and quiet, with minimal traffic and few pedestrians.",unknown,strict_match
21,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, car, motorcycle, person",coco,street,coco_324817,"backpack, car, motorcycle, person","backpack, car, motorcycle, person","Gender: male

The image shows a man riding a scooter with a woman sitting behind him. The man is wearing a light-colored shirt, a cap, and has a watch on his left wrist. The woman is wearing a colorful tie-dye shirt and has a backpack on her back. They are both on a road with a white building in the background, which appears to be a small chapel or church with a bell at the top. There is a car visible on the left side of the image, partially obscured by the scooter. The surroundings include some greenery, such as trees and bushes. The road appears to be paved, and the overall setting seems to be a warm, sunny day.",male,strict_match
22,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, bicycle, car, dog, person, traffic light",coco,street,coco_178948,"backpack, bicycle, car, dog, person, traffic light","backpack, bicycle, car, dog, person, traffic light","Gender: male

The image depicts an urban street scene. A man is standing on the sidewalk near a building, looking towards the street. He is wearing a white shirt and blue jeans. Next to him, there is a black dog standing on the sidewalk. The street is paved with stone tiles, and there is a bicycle partially visible on the right side of the image. 

In the background, there are several multi-story buildings with a classic architectural style, featuring large windows and ornate details. The buildings are painted in light colors, primarily beige and yellow. 

There is a traffic light with red and yellow lights illuminated, and a yield sign is visible next to it. The street has tram tracks embedded in the pavement, and a few people can be seen walking in the distance. The sky is overcast, suggesting it might be a cloudy day.",male,strict_match
23,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","car, motorcycle, person, truck",coco,street,coco_369763,"car, motorcycle, person, truck","car, motorcycle, person, truck","Gender: male

The image depicts a scene with a man sitting on a curb. He is wearing a white shirt and dark pants. Behind him, there is a police officer standing and writing something on a notepad. The officer is dressed in a dark uniform and is wearing a cap. In front of the officer, there is a white police motorcycle with ""LAPD"" written on it. The motorcycle has a black seat and saddlebags. The background features a building with a colorful mural and vertical bars on the windows. The mural includes swirling patterns in shades of pink, orange, and white. The sidewalk is blue, and the curb is painted red.",male,strict_match
24,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","horse, person",coco,street,coco_318184,"horse, person","horse, person","Gender: female

The image shows a person with long, reddish-brown hair walking alongside a white horse. The person is wearing a black sleeveless top, blue jeans, and brown boots. They are holding the horse's reins in their left hand. The background includes a rocky terrain with some vegetation and a concrete pathway. There is a red curb visible at the bottom of the image. The horse appears to be calm and is walking close to the person.",female,strict_match
25,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","boat, person, truck",coco,street,coco_142561,"boat, person, truck","boat, person, truck","Gender: unknown

The image shows an elevated roadway with a sign indicating ""Western Ave"" and ""Exit Only."" There is another sign that reads ""TUNNEL CLOSED EXIT Western Ave WHEN FLASHING."" The road appears to be empty, with no visible vehicles. On the right side of the image, there are a few people standing and looking over the railing. The background features a large building with many windows, and beyond that, there is a body of water and a cloudy sky. Streetlights are visible along the road, and the overall scene appears to be taken during the daytime.",unknown,strict_match
26,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","car, clock, handbag, person",coco,street,coco_344280,"car, clock, handbag, person","car, clock, handbag, person","Gender: female

The image depicts a busy urban street scene. Prominently visible is a large clock mounted on a building, displaying the name ""MORERA."" Below the clock, there are several signs for various businesses, including ""NOCEDAL,"" ""BA INFORMATICA,"" and ""KODAK FILM."" 

The street is lined with buildings, some of which have balconies and various architectural details. There are street lamps with ornate designs, and a few pedestrians are walking along the sidewalk. The most visually salient person is a woman wearing a dark coat and carrying a bag, walking towards the camera. Other people are also visible in the background, going about their day. 

The street appears to be a mix of commercial and residential buildings, with a variety of signs and advertisements adding to the urban atmosphere. The weather seems overcast, contributing to the overall mood of the scene.",female,strict_match
27,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","cat, person",coco,street,coco_444805,"cat, person","cat, person","Gender: female

The image shows the interior of a car. A person wearing a blue top is sitting in the driver's seat. On their lap, there is a black and white cat. The car's dashboard is visible, including the steering wheel, speedometer, and various controls. There is a small device, possibly a phone or an MP3 player, placed on the dashboard. The gear shift is visible, indicating that the car has an automatic transmission. There is also a blue bag on the passenger seat, which appears to contain some items. The background outside the car shows a grassy area and a chain-link fence.",female,strict_match
28,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, car, dog, person, teddy bear",coco,street,coco_295103,"backpack, car, dog, person, teddy bear","backpack, car, dog, person, teddy bear","Gender: unknown

The image shows a person with curly red hair, wearing a gray t-shirt, jeans, and a backpack, crouching on a sidewalk. The person's face is blurred. They are petting a small brown and white bulldog that is lying on a dog bed. The person is also holding a stuffed toy that resembles a bulldog. The scene takes place on a city street, with a crosswalk and several buildings visible in the background. There is a car parked on the street and another one driving by. The sidewalk is made of red bricks, and there is a metal grate near the dog bed.",unknown,strict_match
29,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bench, person",coco,street,coco_335703,"bench, person","bench, person","Gender: unknown

The image depicts a serene park scene during what appears to be either early morning or late afternoon, as indicated by the warm, golden sunlight filtering through the trees. The park is lush with green grass and large, leafy trees that provide ample shade. In the foreground, there is a wooden bench with metal armrests and legs, situated on a paved pathway that curves through the park. The bench is empty. In the background, there are several people scattered across the grassy area, some standing and others sitting, possibly engaging in recreational activities or simply enjoying the park. The overall atmosphere is calm and peaceful.",unknown,strict_match
30,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","clock, person",coco,street,coco_198405,"clock, person","clock, person","Gender: unknown

The image shows a scenic view of a pier extending into a body of water, likely an ocean or a large lake. The sky is clear and blue, indicating a sunny day. In the foreground, there is a large, ornate clock mounted on a black post. The clock face is white with black Roman numerals and black hands, and it is labeled ""North Beach"" at the top. The clock is decorated with gold accents and intricate designs.

On the pier, several people are visible. Some are walking, while others are standing and looking out over the water. The pier has railings on both sides and extends far into the water, where it appears to end with a small platform. In the background, there are a few more structures or platforms in the water, possibly for fishing or docking boats. The overall scene is calm and picturesque, capturing a peaceful moment by the water.",unknown,strict_match
31,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","person, skateboard",coco,street,coco_375755,"person, skateboard","person, skateboard","Gender: unknown

The image shows a young child standing on a sidewalk holding a skateboard. The child has light blonde hair and is wearing a green T-shirt with white and blue writing on it. They are also wearing blue denim shorts and dark-colored shoes. The skateboard has a green design on its underside. The background includes a paved road with a white line marking and a curb.",unknown,strict_match
32,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","car, person, skateboard",coco,street,coco_399148,"car, person, skateboard","car, person, skateboard","Gender: male

The image is a black-and-white photograph depicting an urban street scene. The most visually salient person is a male skateboarder in the foreground, riding a skateboard on the street. He is wearing a t-shirt and pants. In the background, there are two other individuals: a young child and an adult, possibly a woman, who appears to be holding the child's hand. They are standing on the sidewalk near a street corner. The child is dressed in a dark outfit, and the adult is wearing a long skirt and a sweater. 

The street is lined with a brick wall covered in graffiti. There is a utility pole with various posters and stickers attached to it. A vehicle, possibly an SUV, is parked on the street near the sidewalk. The overall atmosphere of the image suggests a typical urban environment.",male,strict_match
33,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","horse, person",coco,street,coco_441972,"horse, person","horse, person","Gender: unknown

The image shows a horse-drawn carriage with two dark brown horses in the foreground. The horses are adorned with harnesses and bridles, and they are connected to the carriage by a series of leather straps and metal fittings. The carriage itself is white with a red roof and has several passengers seated inside. The background includes a green grassy area, some trees, and a church steeple visible in the distance. The sky is clear, indicating a sunny day. The passengers' faces are blurred, making their identities and expressions indistinguishable.",unknown,strict_match
34,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, clock, handbag, person, traffic light",coco,street,coco_221346,"backpack, clock, handbag, person, traffic light","backpack, clock, handbag, person, traffic light","Gender: unknown

The image depicts the iconic Big Ben clock tower in London, illuminated at night. The clock face is clearly visible, showing the time. The tower is lit with a combination of green and golden lights, highlighting its architectural details. Below the tower, part of the Palace of Westminster is visible, also illuminated with warm lighting. In the foreground, there are streetlights and traffic lights. A few people are visible near the bottom right corner of the image, standing on the sidewalk. The sky is dark, indicating that it is nighttime. The overall scene captures the grandeur and historic significance of the location.",unknown,strict_match
35,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bicycle, car, person, surfboard, truck",coco,street,coco_83580,"bicycle, car, person, surfboard, truck","bicycle, car, person, surfboard, truck","Gender: male

The image shows a man holding a large green surfboard with a yellow edge. He is wearing a black wetsuit and a red helmet with a design on it. The man is also riding a bicycle, which has a red frame and black handlebars. In the background, there is a silver pickup truck parked, and some trees are visible. The surfboard has a logo or design near the top. The scene appears to be outdoors, possibly near a beach or coastal area.",male,strict_match
